District IRN,District Name,County,Region,Achievement Component Star Rating,Performance Index Percent 2023-2024,Performance Index Score 2023-2024,Maximum District Performance Index Score 2023-2024,Percent of Students Not Tested,Percent of Students Limited,Percent of Students Basic,Percent of Students Proficient,Percent of Students Accomplished,Percent of Students Advanced,Percent of Students Advanced Plus,Performance Index Score 2022-2023,Performance Index Score 2021-2022,Number of General Education Teachers FTE,Expenditures per Equivalent Pupil - State and Local Funds
048330,Lowellville Local,Mahoning,Region 5,3  Stars,74.1,81.0,109.3,0.3,22.1,20.2,24.2,19.2,13.8,0.3,80.4,81.9,27,"   $11,957"
048348,Poland Local,Mahoning,Region 5,4  Stars,88.9,97.2,109.3,0.4,7.8,12.4,27.0,26.5,24.0,1.9,96.4,94.9,82.6,"   $10,028"
048355,Sebring Local,Mahoning,Region 5,3  Stars,72.2,78.9,109.3,0.8,22.4,22.0,26.1,16.1,12.5,0.2,79.9,77.9,24.1,"   $14,272"
048363,South Range Local,Mahoning,Region 5,5  Stars,93.3,101.9,109.3,0.1,5.2,9.9,25.1,24.4,33.7,1.5,101.6,101.0,51,"   $10,553"
048371,Springfield Local,Mahoning,Region 5,4  Stars,87.7,95.8,109.3,0.0,8.9,14.3,25.3,26.6,24.0,0.9,97.7,93.6,53.4,"   $11,883"
048389,West Branch Local,Mahoning,Region 5,4  Stars,85.6,93.6,109.3,0.2,12.0,13.5,26.7,21.0,25.5,1.2,91.7,91.2,87.7,"   $10,003"
048397,Western Reserve Local,Mahoning,Region 5,4  Stars,88.1,96.2,109.3,0.3,9.0,13.4,24.3,25.4,26.2,1.4,98.0,96.2,42.1,"   $13,694"
048413,Elgin Local,Marion,Region 7,3  Stars,73.8,80.7,109.3,0.3,22.4,19.8,26.4,17.2,13.0,0.8,84.3,81.6,55,"   $11,130"
048421,Pleasant Local,Marion,Region 7,4  Stars,81.5,89.0,109.3,0.1,16.1,15.4,26.8,20.2,18.7,2.6,87.6,82.7,63.8,"   $10,912"
048439,Ridgedale Local,Marion,Region 7,3  Stars,71.6,78.2,109.3,0.0,25.3,19.8,27.8,16.2,10.9,0.1,79.7,77.5,37.9,"   $11,866"
048447,River Valley Local,Marion,Region 7,3  Stars,79.8,87.2,109.3,0.2,15.7,18.2,27.1,21.5,16.9,0.5,88.0,84.7,80.1,"   $10,354"
048462,Black River Local,Medina,Region 7,4  Stars,80.4,87.8,109.3,0.2,16.1,17.1,26.2,21.2,17.0,2.1,89.6,85.8,47.5,"   $15,064"
048470,Buckeye Local,Medina,Region 8,4  Stars,87.0,95.1,109.3,0.0,10.3,12.8,28.1,24.2,23.4,1.1,95.5,93.9,91.6,"   $10,554"
048488,Cloverleaf Local,Medina,Region 8,4  Stars,86.9,95.0,109.3,0.1,11.4,12.9,24.6,21.7,27.7,1.6,92.7,91.1,100,"   $12,948"
048496,Highland Local,Medina,Region 8,5  Stars,96.2,105.1,109.3,0.2,4.5,7.1,21.0,24.3,41.0,2.0,105.0,102.4,133.5,"   $10,162"
048512,Eastern Local,Meigs,Region 16,3  Stars,70.3,76.9,109.3,0.1,26.9,20.5,24.4,16.3,11.5,0.3,80.0,79.9,38,"   $11,621"
048520,Meigs Local,Meigs,Region 16,2  Stars,59.3,64.8,109.3,0.6,38.6,23.7,22.2,10.9,4.0,0.0,69.2,66.2,75,"   $11,309"
048538,Southern Local,Meigs,Region 16,3  Stars,71.1,77.7,109.3,1.3,24.0,19.9,27.7,17.2,9.7,0.3,80.6,81.3,38,"    $9,311"
048553,Marion Local,Mercer,Region 6,5  Stars,102.0,111.5,109.3,0.2,1.4,3.7,14.4,23.9,52.5,3.9,110.8,107.8,48.5,"    $9,966"
048579,Parkway Local,Mercer,Region 6,4  Stars,84.6,92.4,109.3,0.0,12.9,15.3,23.5,23.1,23.7,1.6,93.7,92.4,48,"   $12,048"
048587,St Henry Consolidated Local,Mercer,Region 6,5  Stars,96.6,105.5,109.3,0.0,3.9,7.7,19.7,25.6,41.4,1.8,106.8,104.8,48.8,"   $10,159"
048595,Fort Recovery Local,Mercer,Region 6,5  Stars,93.7,102.4,109.3,0.2,5.1,9.2,24.4,25.4,33.8,1.9,102.3,102.7,46.1,"   $10,930"
048611,Bethel Local,Miami,Region 10,4  Stars,82.1,89.7,109.3,0.4,13.7,16.3,27.4,22.8,19.1,0.4,89.0,89.8,79,"    $8,356"
048629,Miami East Local,Miami,Region 10,5  Stars,91.0,99.4,109.3,0.3,7.1,11.0,23.1,27.7,29.7,1.1,100.6,99.5,63.5,"   $12,569"
048637,Newton Local,Miami,Region 10,5  Stars,91.8,100.3,109.3,0.0,5.1,12.0,24.7,29.9,27.4,0.9,97.7,98.8,27,"   $13,435"
048652,Switzerland of Ohio Local,Monroe,Region 12,3  Stars,70.2,76.7,109.3,0.3,26.5,20.5,26.2,16.3,9.6,0.6,77.9,75.9,146.9,"   $19,830"
048678,Brookville Local,Montgomery,Region 10,4  Stars,86.8,94.8,109.3,0.2,9.7,14.1,27.2,23.3,24.5,0.9,97.9,97.3,71.6,"    $9,663"
048686,Jefferson Township Local,Montgomery,Region 10,1  Star,42.0,45.9,109.3,1.2,67.4,15.9,9.8,5.2,0.6,0.0,47.9,51.0,19,"   $21,041"
048694,Trotwood-Madison City,Montgomery,Region 10,1  Star,47.6,52.0,109.3,4.5,51.8,20.7,15.3,5.3,2.3,0.1,51.3,48.6,128.3,"   $11,816"
048702,Mad River Local,Montgomery,Region 10,2  Stars,69.5,76.0,109.3,1.9,25.0,21.4,23.9,16.2,11.5,0.1,76.1,75.7,161.4,"   $10,388"
048710,New Lebanon Local School District,Montgomery,Region 10,3  Stars,74.0,80.9,109.3,2.0,19.8,18.3,30.8,18.0,11.1,0.0,80.1,78.0,58.4,"   $10,997"
048728,Northmont City,Montgomery,Region 10,4  Stars,81.4,89.0,109.3,0.2,15.9,15.8,25.4,20.3,21.4,1.0,90.3,89.0,206.2,"   $11,436"
048736,Northridge Local,Montgomery,Region 10,1  Star,48.5,53.0,109.3,2.9,53.3,19.8,15.3,6.4,2.3,0.0,56.7,55.8,81,"   $11,743"
048744,Valley View Local,Montgomery,Region 10,3  Stars,79.7,87.0,109.3,0.2,16.9,18.2,24.5,18.9,19.8,1.5,87.5,86.0,73.6,"   $10,721"
048751,Huber Heights City,Montgomery,Region 10,2  Stars,66.3,72.4,109.3,0.9,31.1,21.3,22.3,14.0,9.6,0.8,71.9,71.1,242.9,"    $9,891"
048777,Morgan Local,Morgan,Region 12,3  Stars,74.4,81.3,109.3,0.5,21.2,19.5,27.3,19.0,12.4,0.1,82.3,80.6,85,"   $12,241"
048793,Cardington-Lincoln Local,Morrow,Region 7,3  Stars,73.5,80.3,109.3,0.0,22.3,20.9,27.7,16.9,11.0,1.1,82.4,79.2,46.2,"    $9,830"
048801,Highland Local,Morrow,Region 7,3  Stars,79.2,86.6,109.3,0.3,16.2,18.1,28.7,19.3,16.4,0.9,87.2,85.9,97.5,"   $10,431"
048819,Northmor Local,Morrow,Region 7,4  Stars,83.0,90.6,109.3,0.1,12.7,16.7,28.6,21.9,19.3,0.8,92.5,87.0,51.5,"   $10,828"
048835,East Muskingum Local,Muskingum,Region 12,4  Stars,88.4,96.5,109.3,0.2,9.4,12.4,24.8,23.9,28.1,1.1,95.7,93.6,97.8,"    $9,313"
048843,Franklin Local,Muskingum,Region 12,3  Stars,72.4,79.1,109.3,1.0,23.1,20.3,25.2,17.2,12.8,0.3,79.2,79.3,109.6,"   $11,342"
